"['marketing analysis', 9, 0, 0]"
"['unix .', 1, 0, 0]"
"['teradata , oracle , sql , bteq , unix , kinesis firehose , aws snowball , s3 transfer acceleration , teradata sql assistant , python , apache spark , sql workbench , hadoop , hive , oozie , sqoop , bi , dwh , birst , elastic load balancer , ami , a/b testing , informatica , birst , hdfs , flume , nlp , supervise , unsupervised , reinforcement , hbase , mongodb , nosql .', 2, 0, 0]"
"['cognos', 3, 4, 1.3333333333333333]"
"['olap', 8, 3, 0.375]"
"['scikit-learn', 8, 0, 0]"
"['algorithm design', 3, 0, 0]"
"['feature engineering', 1, 0, 0]"
"['deployment', 5, 67, 13.4]"
"['strategic planning', 6, 0, 0]"
"['text analytics', 2, 0, 0]"
"['association rule', 9, 0, 0]"
"['fortran', 6, 0, 0]"
"['fortran90', 1, 0, 0]"
"['aix', 1, 0, 0]"
"['shell program', 1, 0, 0]"
"['unix shell', 5, 0, 0]"
"['database administration', 1, 0, 0]"
"['store procedure', 1, 0, 0]"
"['database architecture', 1, 0, 0]"
"['architecture', 4, 71, 17.75]"
"['packaging', 1, 4, 4.0]"
"['metric', 5, 15, 3.0]"
"['performance tuning', 3, 0, 0]"
"['data extraction', 3, 0, 0]"
"['data conversion', 1, 0, 0]"
"['sql query', 2, 0, 0]"
"['od', 2, 0, 0]"
"['microsoft excel', 12, 0, 0]"
"['microsoft powerpoint', 3, 0, 0]"
"['fda', 1, 0, 0]"
"['clinical trial', 2, 0, 0]"
"['predictive modeling', 13, 0, 0]"
"['lisp', 2, 0, 0]"
"['script', 27, 5, 0.18518518518518517]"
"['system integration', 1, 0, 0]"
"['system architecture', 1, 0, 0]"
"['artificial neural network', 2, 0, 0]"
"['support vector machine', 41, 0, 0]"
"['ims db/dc', 1, 0, 0]"
"['marketing', 8, 196, 24.5]"
"['premier', 1, 22, 22.0]"
"['geographic information system', 2, 0, 0]"
"['arcgis', 10, 8, 0.8]"
"['qgis', 1, 1, 1.0]"
"['k-nearest neighbor', 6, 0, 0]"
"['natural', 106, 122, 1.150943396226415]"
"['object-oriented', 1, 0, 0]"
"['object-oriented programming', 2, 0, 0]"
"['dbms', 2, 0, 0]"
"['splunk', 9, 7, 0.7777777777777778]"
"['software engineering', 5, 0, 0]"
"['unix/linux', 2, 0, 0]"
"['m excel', 17, 0, 0]"
"['data management : sql , aws , google cloud', 1, 0, 0]"
"['microsoft office : excel , word', 1, 0, 0]"
"['program language/packages : python , panda , numpy , scikit-learn , nltk , spacy , html/css , beautifulsoup , selenium , flask , tensor ? ow , keras', 1, 0, 0]"
"['machine learning : regression , classification , clustering , natural language processing , neural network', 1, 0, 0]"
"['data visualization : tableau , seaborn , matplotlib', 1, 0, 0]"
"['environmental test', 1, 0, 0]"
"['product test', 1, 0, 0]"
"['method validation', 1, 0, 0]"
"['maintenance', 3, 47, 15.666666666666666]"
"['management', 3, 348, 116.0]"
"['data analysis skill', 4, 0, 0]"
"['data entry', 4, 0, 0]"
"['apache hadoop hdfs', 8, 0, 0]"
"['apache hadoop mapreduce', 6, 0, 0]"
"['serial attach scsi', 11, 0, 0]"
"['datastage', 2, 0, 0]"
"['predictive analytics', 12, 0, 0]"
"['lc/ms', 1, 0, 0]"
"['xrf', 1, 0, 0]"
"['sem', 1, 3, 3.0]"
"['forensic', 1, 1, 1.0]"
"['ftir', 2, 0, 0]"
"['mass spectrometry', 1, 0, 0]"
"['gc/ms', 1, 0, 0]"
"['laboratory experience', 1, 0, 0]"
"['cgmp', 4, 0, 0]"
"['telephone', 1, 8, 8.0]"
"['data cleaning', 9, 0, 0]"
"['microsoft office suite', 1, 0, 0]"
"['watson', 1, 7, 7.0]"
"['analyst', 1, 49, 49.0]"
"['necropsy', 1, 0, 0]"
"['aseptic technique', 5, 0, 0]"
"['safety', 1, 36, 36.0]"
"['pharmacovigilance', 3, 0, 0]"
"['customer service', 6, 0, 0]"
"['exchange', 2, 9, 4.5]"
"['network administration', 2, 0, 0]"
"['vmware', 2, 0, 0]"
"['itil', 1, 0, 0]"
"['vendor management', 1, 0, 0]"
"['it management', 1, 0, 0]"
"['voip', 1, 0, 0]"
"['disaster recovery', 1, 0, 0]"
"['cisco', 1, 3, 3.0]"
"['citrix', 2, 1, 0.5]"
"['active directory', 1, 0, 0]"
"['agile project management', 1, 0, 0]"
"['waterfall', 1, 3, 3.0]"
"['sdlc', 6, 4, 0.6666666666666666]"
"['saas', 1, 13, 13.0]"
"['project / program management', 1, 0, 0]"
"['ftp', 1, 0, 0]"
"['http', 1, 3, 3.0]"
"['quality assurance', 4, 0, 0]"
"['healthcare management', 1, 0, 0]"
"['b2b', 2, 0, 0]"
"['latex', 4, 0, 0]"
"['bacterial', 3, 1, 0.3333333333333333]"
"['electrophoresis', 6, 0, 0]"
"['gel electrophoresis', 3, 0, 0]"
"['pcr', 13, 0, 0]"
"['biochemistry', 7, 1, 0.14285714285714285]"
"['ng , str , lc/ms/ms , hplc , microarray , dna amplification , radioimmunoassay , r & d , method development and validation .', 1, 0, 0]"
"['database design', 5, 0, 0]"
"['snowflake schema', 5, 0, 0]"
"['star schema', 3, 0, 0]"
"['microsoft visual studio', 1, 0, 0]"
"['product development', 7, 0, 0]"
"['marketing research', 1, 0, 0]"
"['research', 14, 409, 29.214285714285715]"
"['model', 7, 252, 36.0]"
"['simulation', 2, 63, 31.5]"
"['protein purfication', 1, 0, 0]"
"['pipette technique', 1, 0, 0]"
"['bacterial cell culture', 1, 0, 0]"
"['protocol design', 1, 0, 0]"
"['liquid chromatography - his-tag column', 1, 0, 0]"
"['public speaking', 3, 0, 0]"
"['buffer preparation', 1, 0, 0]"
"['computer hardware', 1, 0, 0]"
"['managerial', 1, 5, 5.0]"
"['inventory', 1, 13, 13.0]"
"['troubleshoot', 3, 10, 3.3333333333333335]"
"['train & development', 1, 0, 0]"
"['tecan', 1, 0, 0]"
"['high performance compute', 4, 0, 0]"
"['storage management', 1, 0, 0]"
"['ibm watson', 1, 0, 0]"
"['eye track', 1, 0, 0]"
"['interview', 1, 23, 23.0]"
"['video analysis', 1, 0, 0]"
"['communication analysis', 1, 0, 0]"
"['user research', 1, 0, 0]"
"['healthcare', 1, 95, 95.0]"
"['information technology', 1, 0, 0]"
"['epic', 5, 2, 0.4]"
"['icd-10', 1, 0, 0]"
"['decision support system', 1, 0, 0]"
"['medical terminology', 3, 0, 0]"
"['big data analytics', 4, 0, 0]"
"['pmo', 1, 3, 3.0]"
"['couchbase', 1, 1, 1.0]"
"['hana', 5, 8, 1.6]"
"['sql server 2005', 3, 0, 0]"
"['microstrategy', 4, 9, 2.25]"
"['bootstrap', 10, 3, 0.3]"
"['orm', 1, 0, 0]"
"['ajax', 2, 0, 0]"
"['rest', 2, 23, 11.5]"
"['html5', 3, 0, 0]"
"['oop', 1, 0, 0]"
"['teach', 4, 12, 3.0]"
"['quantitative research', 1, 0, 0]"
"['production management', 1, 0, 0]"
"['solution selling', 1, 0, 0]"
"['product marketing', 1, 0, 0]"
"['market research', 3, 0, 0]"
"['business development', 3, 0, 0]"
"['management experience', 1, 0, 0]"
"['hts', 2, 0, 0]"
"['liquid handling', 1, 0, 0]"
"['sample preparation .', 1, 0, 0]"
"['extract , transform , and load', 8, 0, 0]"
"['linear discriminant analysis', 6, 0, 0]"
"['neural', 28, 118, 4.214285714285714]"
"['rally .', 1, 0, 0]"
